Town Hall level,Item Name,Item Value,Item Description,Yield,CropType
0,Wheat,5,A fast growing pale yellow rough grain` a staple for any farm,1,0
1,Good Wheat,10,It's good!,2,0
1,Carrot,10,A long thin crunchy orange vegetable` popular among rabbits,1,1
2,Better Wheat,20,It's just better!,3,0
2,Good Carrot,20,It's good!,2,1
2,Potato,20,A dirt brown orb of starchy goodness` it's spud-tacular!,1,2
3,Great Wheat,40,It's great!,4,0
3,Better Carrot,40,It's just better!,3,1
3,Good Potato,40,It's good!,2,2
3,Apple,100,Red. They keep doctors away!,1,3
